"age group","county name","cases","deaths","confirmed_case_hospitalization"
"70-79 years","Crisp","146","16","37"
"80 & Older years","Crisp","77","20","18"
"<1 years","Crisp","30","0","0"
"01-04 years","Dade","53","0","0"
"05-09 years","Dade","132","0","0"
"10-17 years","Dade","286","0","1"
"18-29 years","Dade","563","0","3"
"30-39 years","Dade","407","0","3"
"40-49 years","Dade","431","1","10"
"50-59 years","Dade","388","7","27"
"60-69 years","Dade","316","2","16"
"70-79 years","Dade","205","13","29"
"80 & Older years","Dade","90","5","16"
"<1 years","Dade","24","0","0"
"Unknown years","Dade","5","0","0"
"01-04 years","Dawson","135","0","1"
"05-09 years","Dawson","213","0","1"
"10-17 years","Dawson","557","0","7"
"18-29 years","Dawson","1305","0","21"
"30-39 years","Dawson","1108","2","29"
"40-49 years","Dawson","927","4","45"
"50-59 years","Dawson","1076","11","77"
"60-69 years","Dawson","835","21","103"
"70-79 years","Dawson","510","33","80"
"80 & Older years","Dawson","243","28","50"
"<1 years","Dawson","62","0","3"
"01-04 years","DeKalb","4187","0","57"
"05-09 years","DeKalb","6255","0","45"
"10-17 years","DeKalb","12189","0","145"
"18-29 years","DeKalb","33600","19","929"
"30-39 years","DeKalb","30968","38","1164"
"40-49 years","DeKalb","23889","81","1208"
"50-59 years","DeKalb","20145","202","1571"
"60-69 years","DeKalb","12991","336","1683"
"70-79 years","DeKalb","6567","422","1311"
"80 & Older years","DeKalb","3324","525","911"
"<1 years","DeKalb","1191","1","47"
"Unknown years","DeKalb","110","0","26"
"01-04 years","Decatur","256","0","3"
"05-09 years","Decatur","300","0","1"
"10-17 years","Decatur","624","0","1"
"18-29 years","Decatur","1104","1","23"
"30-39 years","Decatur","852","1","13"
"40-49 years","Decatur","788","3","38"
"50-59 years","Decatur","711","14","56"
"60-69 years","Decatur","541","21","64"
"70-79 years","Decatur","307","31","50"
"80 & Older years","Decatur","188","25","31"
"<1 years","Decatur","105","0","1"
"Unknown years","Decatur","2","0","0"
"01-04 years","Dodge","30","0","0"
"05-09 years","Dodge","67","0","0"
"10-17 years","Dodge","216","1","2"
"18-29 years","Dodge","474","0","9"
"30-39 years","Dodge","326","2","10"
"40-49 years","Dodge","327","3","14"
"50-59 years","Dodge","312","7","23"
"60-69 years","Dodge","229","22","36"
"70-79 years","Dodge","136","20","28"
"80 & Older years","Dodge","83","18","18"
"<1 years","Dodge","17","0","1"
"01-04 years","Dooly","34","0","0"
"05-09 years","Dooly","58","0","0"
"10-17 years","Dooly","148","0","1"
"18-29 years","Dooly","285","1","5"
"30-39 years","Dooly","230","0","12"
"40-49 years","Dooly","266","2","14"
"50-59 years","Dooly","250","6","24"
"60-69 years","Dooly","212","12","27"
"70-79 years","Dooly","100","12","26"
"80 & Older years","Dooly","40","9","8"
"<1 years","Dooly","16","0","1"
"Unknown years","Dooly","1","0","0"
"01-04 years","Dougherty","423","0","5"
"05-09 years","Dougherty","881","0","1"
"10-17 years","Dougherty","2028","0","22"
"18-29 years","Dougherty","2935","4","188"
"30-39 years","Dougherty","2397","8","155"
"40-49 years","Dougherty","2089","35","195"
"50-59 years","Dougherty","1877","49","259"
"60-69 years","Dougherty","1506","119","370"
"70-79 years","Dougherty","831","107","267"
"80 & Older years","Dougherty","493","148","204"
"<1 years","Dougherty","170","0","11"
"Unknown years","Dougherty","37","0","1"
"01-04 years","Douglas","763","0","14"
"05-09 years","Douglas","1333","0","15"
"10-17 years","Douglas","3251","1","35"
"18-29 years","Douglas","6137","0","85"
"30-39 years","Douglas","5377","8","123"
"40-49 years","Douglas","5603","18","192"
"50-59 years","Douglas","4904","49","255"
"60-69 years","Douglas","2747","80","268"
"70-79 years","Douglas","1351","93","210"
"80 & Older years","Douglas","614","95","158"
"<1 years","Douglas","290","0","14"
"Unknown years","Douglas","11","0","0"
"01-04 years","Early","79","0","0"
"05-09 years","Early","99","0","0"
"10-17 years","Early","302","0","0"
"18-29 years","Early","358","1","12"
"30-39 years","Early","317","1","6"
"40-49 years","Early","312","2","15"
"50-59 years","Early","306","6","18"
"60-69 years","Early","222","12","23"
"70-79 years","Early","137","21","27"
"80 & Older years","Early","77","13","20"
"<1 years","Early","21","0","0"
"Unknown years","Early","3","0","0"
"01-04 years","Echols","16","0","0"
"05-09 years","Echols","11","0","0"
"10-17 years","Echols","37","0","2"
"18-29 years","Echols","149","0","2"
"30-39 years","Echols","72","1","4"
"40-49 years","Echols","62","0","1"
"50-59 years","Echols","60","1","2"
"60-69 years","Echols","38","0","1"
"70-79 years","Echols","26","2","4"
"80 & Older years","Echols","7","2","2"
"<1 years","Echols","6","0","0"
"01-04 years","Effingham","351","0","2"
"05-09 years","Effingham","596","0","3"
"10-17 years","Effingham","1299","0","2"
"18-29 years","Effingham","1978","1","21"
"30-39 years","Effingham","2055","5","51"
"40-49 years","Effingham","1730","10","80"
"50-59 years","Effingham","1509","34","127"
"60-69 years","Effingham","1030","29","150"
"70-79 years","Effingham","507","46","141"
"80 & Older years","Effingham","230","48","76"
"<1 years","Effingham","149","0","7"
"Unknown years","Effingham","5","0","0"
"01-04 years","Elbert","59","0","3"
"05-09 years","Elbert","81","0","1"
"10-17 years","Elbert","197","0","4"
"18-29 years","Elbert","506","2","11"
"30-39 years","Elbert","385","0","18"
"40-49 years","Elbert","376","1","26"
"50-59 years","Elbert","403","4","47"
"60-69 years","Elbert","346","12","61"
"70-79 years","Elbert","246","26","70"
"80 & Older years","Elbert","189","41","67"
"<1 years","Elbert","40","0","4"
"Unknown years","Elbert","2","0","0"
"01-04 years","Emanuel","90","0","4"
"05-09 years","Emanuel","137","0","2"
"10-17 years","Emanuel","382","0","3"
"18-29 years","Emanuel","679","1","8"
"30-39 years","Emanuel","570","1","25"
"40-49 years","Emanuel","542","5","22"
"50-59 years","Emanuel","466","10","46"
"60-69 years","Emanuel","363","18","45"
"70-79 years","Emanuel","221","25","45"
"80 & Older years","Emanuel","103","23","28"
"<1 years","Emanuel","22","0","1"
"Unknown years","Emanuel","4","0","1"
"01-04 years","Evans","27","0","0"
"05-09 years","Evans","74","0","1"
"10-17 years","Evans","161","0","3"
"18-29 years","Evans","329","0","5"
"30-39 years","Evans","292","0","6"
"40-49 years","Evans","244","4","25"
"50-59 years","Evans","221","6","24"
"60-69 years","Evans","143","9","30"
"70-79 years","Evans","92","18","30"
"80 & Older years","Evans","37","4","17"
"<1 years","Evans","14","0","0"
"01-04 years","Fannin","63","0","1"
"05-09 years","Fannin","102","0","0"
"10-17 years","Fannin","338","0","2"
"18-29 years","Fannin","627","0","8"
"30-39 years","Fannin","484","2","14"
"40-49 years","Fannin","561","5","22"
"50-59 years","Fannin","726","8","48"
"60-69 years","Fannin","741","29","85"
"70-79 years","Fannin","543","36","101"
"80 & Older years","Fannin","283","60","77"
"<1 years","Fannin","19","0","1"
"01-04 years","Fayette","429","0","11"
"05-09 years","Fayette","795","0","7"
"10-17 years","Fayette","2090","0","20"
"18-29 years","Fayette","3409","5","71"
"30-39 years","Fayette","2658","6","85"
"40-49 years","Fayette","3340","8","131"
"50-59 years","Fayette","3367","26","222"
"60-69 years","Fayette","2523","42","222"
"70-79 years","Fayette","1356","101","268"
"80 & Older years","Fayette","744","113","216"
"<1 years","Fayette","120","0","8"
"Unknown years","Fayette","15","0","3"
"01-04 years","Floyd","577","0","11"
"05-09 years","Floyd","974","0","3"
"10-17 years","Floyd","2666","1","19"
"18-29 years","Floyd","5000","4","75"
"30-39 years","Floyd","3848","9","96"
"40-49 years","Floyd","3509","18","175"
"50-59 years","Floyd","3472","55","281"
"60-69 years","Floyd","2546","86","366"
"70-79 years","Floyd","1513","122","358"
"80 & Older years","Floyd","848","135","270"
"<1 years","Floyd","281","1","15"
"Unknown years","Floyd","39","0","0"
"01-04 years","Forsyth","1367","0","12"
"05-09 years","Forsyth","2860","0","5"
"10-17 years","Forsyth","6496","0","22"
"18-29 years","Forsyth","7746","1","72"
"30-39 years","Forsyth","7424","6","111"
"40-49 years","Forsyth","9176","16","210"
"50-59 years","Forsyth","7429","33","275"
"60-69 years","Forsyth","3986","57","285"
"70-79 years","Forsyth","2391","119","352"
"80 & Older years","Forsyth","1337","170","303"
"<1 years","Forsyth","319","0","9"
"Unknown years","Forsyth","47","0","0"
"01-04 years","Franklin","88","0","2"
"05-09 years","Franklin","156","0","0"
"10-17 years","Franklin","429","0","6"
"18-29 years","Franklin","880","1","17"
"30-39 years","Franklin","649","0","15"
"40-49 years","Franklin","663","4","29"
"50-59 years","Franklin","660","6","47"
"60-69 years","Franklin","558","12","59"
"70-79 years","Franklin","356","30","67"
"80 & Older years","Franklin","167","29","41"
"<1 years","Franklin","56","0","7"
"Unknown years","Franklin","5","0","0"
"01-04 years","Fulton","5469","0","83"
"05-09 years","Fulton","8512","0","57"
"10-17 years","Fulton","18416","1","167"
"18-29 years","Fulton","51435","8","1081"
"30-39 years","Fulton","42891","67","1353"
"40-49 years","Fulton","33032","80","1389"
"50-59 years","Fulton","27670","237","1978"
"60-69 years","Fulton","16961","436","1940"
"70-79 years","Fulton","8779","578","1584"
"80 & Older years","Fulton","5105","815","1388"
"<1 years","Fulton","1531","0","70"
"Unknown years","Fulton","191","0","110"
"01-04 years","Gilmer","98","0","6"
"05-09 years","Gilmer","104","0","1"
