date,wrf,influent_flow_mg,influent_tss_mg_l
6/29/2022,MI,3.56,48
6/29/2022,CC,1.35,164
7/4/2022,NO ,4.39,248
7/4/2022,MI,3.42,188
7/4/2022,CC,1.32,172
7/6/2022,NO ,4.3,154
7/6/2022,MI,3.37,68
7/6/2022,CC,1.41,320
7/11/2022,NO ,5.26,138
7/11/2022,MI,3.83,42
7/11/2022,CC,1.54,128
7/13/2022,NO ,5.54,132
7/13/2022,MI,3.55,44
7/13/2022,CC,1.43,284
7/18/2022,NO ,4.81,224
7/18/2022,MI,3.33,136
7/18/2022,CC,1.57,252
7/20/2022,NO ,5.55,166
7/20/2022,MI,3.71,104
7/20/2022,CC,1.56,788
7/25/2022,NO ,5.25,262
7/25/2022,MI,3.71,152
7/25/2022,CC,1.4,212
7/27/2022,NO ,5.32,142
7/27/2022,MI,3.4,60
7/27/2022,CC,1.46,440
8/1/2022,NO ,4.98,164
8/1/2022,MI,3.42,292
8/1/2022,CC,1.56,220
8/3/2022,NO ,5.58,218
8/3/2022,MI,3.49,204
8/3/2022,CC,1.42,332
8/8/2022,NO ,5.35,126
8/8/2022,MI,3.57,90
8/8/2022,CC,1.5,184
8/10/2022,NO ,5.84,122
8/10/2022,MI,3.54,68
8/10/2022,CC,1.4,476
8/15/2022,NO ,5.72,638
8/15/2022,MI,3.61,148
8/15/2022,CC,1.54,304
8/17/2022,NO ,6.3,372
8/17/2022,MI,3.6,172
8/17/2022,CC,1.49,328
8/22/2022,NO ,6.37,144
8/22/2022,MI,3.73,62
8/22/2022,CC,1.65,256
8/24/2022,NO ,6.37,385
8/24/2022,MI,3.6,172
8/24/2022,CC,1.63,352
